"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-01-04,4349.55810546875,4349.55810546875,4029.2142188139323,4271.251822064239,74195000
2000-01-05,3972.26416015625,4313.96430296539,3929.5516423051076,4128.876725610439,74680000
2000-01-06,4000.739501953125,4114.639558948232,3972.264487704348,4093.283298261649,54390000
2000-01-07,3943.791259765625,4036.335097991172,3815.653637607175,3958.028773338786,40305000
2000-01-10,4107.51953125,4107.51953125,3972.263255524263,3986.5007582322355,46880000
2000-01-11,4107.51953125,4342.438325931542,4107.51953125,4143.11328801993,59745000
2000-01-12,4071.927978515625,4086.1654889300153,3986.5029160292834,3993.6216712364785,29220000
2000-01-13,4064.81005859375,4086.1663286038747,3958.028708543126,3986.5037352232926,41190000
2000-01-14,4150.232421875,4185.826181925386,4043.4511417238423,4071.926149764151,49375000
2000-01-17,4342.44140625,4399.391457479508,4214.303790983607,4271.253842213115,63505000
2000-01-18,4342.44140625,4385.153944672131,4257.016329405737,4385.153944672131,45260000
2000-01-19,4242.77734375,4299.727375209732,4242.77734375,4271.252359479866,40205000
2000-01-20,4299.72607421875,4299.72607421875,4143.113535091577,4171.588542205609,37315000
2000-01-21,4185.828125,4257.015678146259,4185.828125,4235.659412202382,32535000
2000-01-24,4057.68896484375,4200.064016241776,4057.68896484375,4128.876490542763,34355000
2000-01-25,3872.6025390625,4014.977632410386,3872.6025390625,3929.5525764016543,44250000
2000-01-26,3901.077880859375,3929.5529018875454,3851.2465940600764,3915.31539137346,29285000
2000-01-27,3929.552978515625,4000.7405324742413,3865.48417995287,3901.077956932178,27900000
2000-01-28,4143.11376953125,4185.826282619201,3943.7887084541453,4014.976230267397,38315000
2000-01-31,3972.26416015625,4079.0454547841064,3958.0266542058694,4014.9766780073924,39630000
2000-02-01,3787.177001953125,4043.4521374236374,3744.464479374706,3986.502107319079,71470000
2000-02-02,3737.34716796875,3822.77224609375,3637.6845768229164,3715.9908984374997,64105000
2000-02-03,3651.920166015625,3886.8390071043495,3538.020121851395,3737.3451991387974,142765000
2000-02-04,3651.920166015625,3651.920166015625,3651.920166015625,3651.920166015625,0
2000-02-07,3730.22705078125,3794.295836004592,3587.8519725071565,3659.0395116442032,64140000
2000-02-08,3865.4833984375,3901.077168220534,3780.058350958218,3801.4146128280386,58460000
2000-02-09,4071.927978515625,4071.927978515625,3901.0778535429417,3958.027895200503,51050000
2000-02-10,4100.40234375,4185.827392578125,3986.5022786458335,4029.214803059896,61845000
2000-02-11,4057.68896484375,4242.776531661184,4043.451459703947,4242.776531661184,34660000
2000-02-14,3829.8896484375,4029.2147602520913,3801.414632463987,3986.5022362918216,44140000
2000-02-15,3701.751708984375,3858.36428128756,3659.0391892653247,3829.8892681415264,38315000
2000-02-16,3559.37841796875,3701.7535546874997,3402.7657675781247,3687.516041015625,73115000
2000-02-17,3616.325927734375,3630.5634313868723,3495.3071466881456,3516.663402166892,65185000
2000-02-18,3772.939453125,4007.8583247346696,3673.2769015330186,3822.77072892099,108750000
2000-02-21,3609.207763671875,3744.464070397251,3580.7327517296903,3701.751552483974,26485000
2000-02-22,3644.80224609375,3730.2272987365723,3559.3771934509277,3559.3771934509277,24180000
2000-02-23,3659.04052734375,3744.465598021036,3630.5655037846545,3715.9905744619405,27720000
2000-02-24,3609.207763671875,3730.2265644261583,3602.0890106863285,3644.8015285996053,26075000
2000-02-25,3644.80224609375,3666.1585092544556,3545.139684677124,3616.3272285461426,27875000
2000-02-28,3417.001953125,3594.9708048502603,3417.001953125,3559.3770345052085,30140000
2000-02-29,3644.80224609375,3659.0397548675537,3445.477123260498,3488.189649581909,51820000
2000-03-01,3644.80224609375,3644.80224609375,3644.80224609375,3644.80224609375,0
2000-03-02,4185.828125,4185.828125,3929.55293367347,4185.828125,117750000
2000-03-03,4271.25146484375,4449.220275878906,4185.826435546875,4413.626513671875,140990000
2000-03-06,4014.975830078125,4306.844640420683,3986.5008241910464,4271.250883061835,39150000
2000-03-07,4000.739501953125,4014.9770090775132,3901.0769520824065,3986.5019948287363,30070000
2000-03-08,4214.30224609375,4271.252276446368,3915.314586742504,3929.5520943306587,32460000
2000-03-09,4000.739501953125,4257.014630192115,4000.739501953125,4249.895876629921,55890000
2000-03-10,3943.791259765625,4128.878936216719,3929.5537461924637,4121.760179430138,28605000
2000-03-13,3687.515380859375,3908.196803266017,3673.277869736366,3901.0780477045128,32215000
